local_id;type_local;surf_carre;nb_piece_princ;surf_terrain;nature_cult;nature_cult_spec;cadastre_id
6786;Appartement;61,47;2;;;;22351
9638;Appartement;61,47;3;;;;11890
9639;Appartement;61,48;3;;;;13360
9640;Appartement;61,49;3;;;;28331
9641;Appartement;61,50;3;;;;12588
6787;Appartement;61,51;2;;;;10017
9642;Appartement;61,51;3;;;;29158
6788;Appartement;61,52;2;;;;4637
9643;Appartement;61,52;3;;;;2828
12975;Appartement;61,52;4;;;;6334
6789;Appartement;61,53;2;;;;11983
6790;Appartement;61,54;2;;;;20643
9644;Appartement;61,54;3;;;;20419
12976;Appartement;61,54;4;;;;7151
6791;Appartement;61,55;2;;;;293
9645;Appartement;61,55;3;;;;29276
12977;Appartement;61,55;4;;;;2528
9646;Appartement;61,56;3;;;;27760
6792;Appartement;61,57;2;;;;20471
9647;Appartement;61,57;3;;;;26305
9648;Maison;61,57;3;;;;19702
12978;Appartement;61,57;4;;;;57
6793;Appartement;61,58;2;;;;1146
9649;Appartement;61,58;3;;;;27193
6794;Appartement;61,59;2;;;;29183
9650;Appartement;61,59;3;;;;22249
12979;Appartement;61,59;4;;;;12881
9651;Appartement;61,60;3;;;;20488
16625;Appartement;61,60;5;;;;18010
6795;Appartement;61,61;2;;;;5942
9652;Appartement;61,61;3;;;;212
9653;Appartement;61,62;3;;;;21847
12980;Appartement;61,62;4;;;;23906
6796;Appartement;61,63;2;;;;1146
9654;Appartement;61,63;3;;;;209
12981;Appartement;61,63;4;;;;27648
2897;Appartement;61,64;1;;;;17011
9655;Appartement;61,64;3;;;;19748
9656;Appartement;61,65;3;;;;515
9657;Appartement;61,66;3;;;;18773
6797;Appartement;61,67;2;;;;1766
9658;Appartement;61,67;3;;;;22181
9659;Maison;61,67;3;;;;20671
12982;Appartement;61,67;4;;;;18247
9660;Appartement;61,68;3;;;;28478
9661;Appartement;61,69;3;;;;24475
12983;Appartement;61,69;4;;;;5782
9662;Appartement;61,70;3;;;;9087
9663;Appartement;61,71;3;;;;629
9664;Appartement;61,72;3;;;;1822
9665;Appartement;61,73;3;;;;17389
12984;Appartement;61,73;4;;;;21433
6798;Appartement;61,74;2;;;;13142
9666;Appartement;61,74;3;;;;19348
6799;Appartement;61,75;2;;;;1109
9667;Appartement;61,75;3;;;;8542
6800;Appartement;61,76;2;;;;23549
9668;Appartement;61,76;3;;;;1974
9669;Appartement;61,77;3;;;;21592
12985;Appartement;61,77;4;;;;20486
9670;Appartement;61,78;3;;;;2730
9671;Appartement;61,79;3;;;;4895
9672;Maison;61,79;3;;;;14847
2898;Appartement;61,80;1;;;;16312
6801;Appartement;61,80;2;;;;25204
9673;Appartement;61,80;3;;;;1360
9674;Appartement;61,81;3;;;;14744
6802;Appartement;61,82;2;;;;22138
9675;Appartement;61,82;3;;;;27445
6803;Appartement;61,83;2;;;;2106
9676;Appartement;61,83;3;;;;419
12986;Appartement;61,83;4;;;;20333
9677;Appartement;61,84;3;;;;2252
6804;Appartement;61,85;2;;;;14872
9678;Appartement;61,85;3;;;;23736
9679;Appartement;61,86;3;;;;19606
12987;Appartement;61,86;4;;;;3797
9680;Appartement;61,87;3;;;;13914
9681;Appartement;61,88;3;;;;8079
9682;Appartement;61,89;3;;;;9498
9683;Maison;61,89;3;;;;18354
12988;Appartement;61,89;4;;;;1421
9684;Appartement;61,90;3;;;;5218
2899;Appartement;61,91;1;;;;28688
9685;Appartement;61,91;3;;;;16467
6805;Appartement;61,92;2;;;;2910
9686;Appartement;61,92;3;;;;3424
9687;Appartement;61,93;3;;;;5266
9688;Appartement;61,94;3;;;;20886
12989;Appartement;61,94;4;;;;7623
6806;Appartement;61,95;2;;;;7136
9689;Appartement;61,95;3;;;;4111
12990;Appartement;61,95;4;;;;2593
9690;Appartement;61,96;3;;;;4008
12991;Appartement;61,96;4;;;;6072
9691;Appartement;61,97;3;;;;6450
9692;Appartement;61,98;3;;;;8506
6807;Appartement;61,99;2;;;;24870
6849;Appartement;62,00;2;;;;8907
9804;Appartement;62,00;3;;;;525
9805;Maison;62,00;3;;;;28748
13036;Appartement;62,00;4;;;;28723
9694;Appartement;62,01;3;;;;17146
12993;Appartement;62,01;4;;;;12730
6809;Maison;62,02;2;;;;1244
9695;Appartement;62,02;3;;;;3068
9696;Maison;62,02;3;;;;10041
12994;Appartement;62,02;4;;;;1805
6810;Appartement;62,03;2;;;;2950
9697;Appartement;62,03;3;;;;499
12995;Appartement;62,03;4;;;;9900
6811;Appartement;62,04;2;;;;8402
9698;Appartement;62,04;3;;;;10778
9699;Appartement;62,05;3;;;;26723
9700;Appartement;62,06;3;;;;29634
12996;Appartement;62,06;4;;;;18876
9701;Appartement;62,07;3;;;;20190
12997;Appartement;62,07;4;;;;3332
9702;Appartement;62,08;3;;;;1250
9703;Maison;62,08;3;;;;14587
2900;Appartement;62,09;1;;;;22531
9704;Appartement;62,09;3;;;;1739
12998;Appartement;62,09;4;;;;23181
9705;Appartement;62,10;3;;;;14724
12999;Appartement;62,10;4;;;;27443
6812;Appartement;62,11;2;;;;18243
9706;Appartement;62,11;3;;;;23713
6813;Appartement;62,12;2;;;;7540
9707;Appartement;62,12;3;;;;2068
9708;Maison;62,12;3;;;;27855
9709;Appartement;62,13;3;;;;51
6814;Appartement;62,14;2;;;;24704
9710;Appartement;62,14;3;;;;16938
6815;Appartement;62,15;2;;;;17583
9711;Appartement;62,15;3;;;;10763
13000;Appartement;62,15;4;;;;26158
16626;Maison;62,15;5;;;;17548
9712;Appartement;62,16;3;;;;8480
9713;Appartement;62,17;3;;;;11581
9714;Appartement;62,18;3;;;;2030
13001;Appartement;62,18;4;;;;10037
9715;Appartement;62,19;3;;;;12953
9716;Maison;62,19;3;;;;29149
9717;Appartement;62,20;3;;;;25675
13002;Appartement;62,20;4;;;;2228
9718;Appartement;62,21;3;;;;17770
9719;Appartement;62,22;3;;;;10316
9720;Appartement;62,23;3;;;;11684
9721;Maison;62,23;3;;;;2334
9722;Appartement;62,24;3;;;;532
13003;Appartement;62,24;4;;;;18973
6816;Appartement;62,25;2;;;;11069
9723;Appartement;62,25;3;;;;1006
9724;Appartement;62,26;3;;;;23339
13004;Appartement;62,26;4;;;;13377
9725;Appartement;62,27;3;;;;17655
9726;Appartement;62,28;3;;;;24302
13005;Appartement;62,28;4;;;;21189
9727;Appartement;62,29;3;;;;7750
18013;Appartement;62,30;3;67;AG;PARC;20373
6817;Appartement;62,30;2;;;;9693
9728;Appartement;62,30;3;;;;2809
9729;Maison;62,30;3;;;;1027
6818;Appartement;62,31;2;;;;17749
9730;Appartement;62,31;3;;;;829
13006;Appartement;62,31;4;;;;1734
6819;Appartement;62,32;2;;;;5715
9731;Appartement;62,32;3;;;;1270
9732;Appartement;62,33;3;;;;2060
6820;Appartement;62,34;2;;;;1999
9733;Appartement;62,34;3;;;;26986
9734;Appartement;62,35;3;;;;4060
6821;Appartement;62,36;2;;;;25966
9735;Appartement;62,36;3;;;;113
13007;Appartement;62,36;4;;;;27343
6822;Appartement;62,37;2;;;;184
9736;Appartement;62,37;3;;;;5491
9737;Maison;62,37;3;;;;391
6823;Appartement;62,38;2;;;;825
9738;Appartement;62,38;3;;;;6843
13008;Appartement;62,38;4;;;;27080
6824;Appartement;62,39;2;;;;14694
9739;Appartement;62,39;3;;;;25955
9740;Maison;62,39;3;;;;15894
13009;Appartement;62,39;4;;;;18866
9741;Appartement;62,40;3;;;;16090
13010;Appartement;62,40;4;;;;9776
9742;Appartement;62,41;3;;;;6032
13011;Appartement;62,41;4;;;;17810
9743;Appartement;62,42;3;;;;23038
6825;Appartement;62,43;2;;;;15260
9744;Appartement;62,43;3;;;;25092
9745;Appartement;62,44;3;;;;22411
9746;Appartement;62,45;3;;;;8524
13012;Appartement;62,45;4;;;;15893
13013;Appartement;62,46;4;;;;13040
6826;Appartement;62,47;2;;;;1142
9747;Appartement;62,47;3;;;;374
9748;Maison;62,47;3;;;;12932
9749;Appartement;62,48;3;;;;1091
13014;Appartement;62,48;4;;;;5541
9750;Appartement;62,49;3;;;;8168
6827;Appartement;62,50;2;;;;3159
9751;Appartement;62,50;3;;;;15758
13015;Appartement;62,50;4;;;;24600
9752;Appartement;62,51;3;;;;24518
9753;Appartement;62,52;3;;;;7906
9754;Appartement;62,53;3;;;;23073
9755;Appartement;62,54;3;;;;19534
13016;Appartement;62,54;4;;;;16218
6828;Appartement;62,55;2;;;;7940
9756;Appartement;62,55;3;;;;23161
6829;Maison;62,56;2;;;;12099
9757;Appartement;62,56;3;;;;13837
13017;Appartement;62,56;4;;;;450
6830;Appartement;62,57;2;;;;28575
9758;Appartement;62,57;3;;;;3089
9759;Appartement;62,58;3;;;;11355
9760;Appartement;62,59;3;;;;27384
6831;Appartement;62,60;2;;;;5664
9761;Appartement;62,60;3;;;;28329
13018;Appartement;62,60;4;;;;242
9762;Appartement;62,61;3;;;;29927
6832;Appartement;62,62;2;;;;29699
9763;Appartement;62,62;3;;;;18577
13019;Appartement;62,62;4;;;;23346
9764;Appartement;62,63;3;;;;13169
6833;Appartement;62,64;2;;;;25564
9765;Appartement;62,64;3;;;;9785
13020;Appartement;62,64;4;;;;2087
6834;Appartement;62,65;2;;;;10723
9766;Appartement;62,65;3;;;;21282
9767;Appartement;62,66;3;;;;8390
13021;Appartement;62,66;4;;;;14959
9768;Appartement;62,67;3;;;;18493
13022;Appartement;62,67;4;;;;499
9769;Appartement;62,68;3;;;;8860
6835;Appartement;62,69;2;;;;20385
9770;Appartement;62,69;3;;;;17761
6836;Appartement;62,70;2;;;;24161
9771;Appartement;62,70;3;;;;471
