mutation_id;num_disposition;date_mutation;valeur_fonciere;local_id
26761;1;11/06/2020;82000;5125
26762;1;12/06/2020;82000;2383
26763;1;13/06/2020;82000;10097
26764;1;15/06/2020;82000;8671
26765;1;22/06/2020;82000;2929
26766;1;23/06/2020;82000;13157
26767;1;25/06/2020;82000;1000
26768;1;30/06/2020;82000;16818
26769;1;05/02/2020;820000;15011
26770;1;26/02/2020;820000;12817
26771;1;12/03/2020;820000;11429
26772;1;17/03/2020;820000;8705
26773;1;19/03/2020;820000;11600
26774;1;25/03/2020;820000;15667
26775;1;07/04/2020;820000;13598
26776;1;19/05/2020;820000;7499
26777;1;26/05/2020;820000;7041
26778;1;26/06/2020;820000;11027
26779;1;29/06/2020;820000;16947
26780;1;12/05/2020;820410;10871
26781;1;20/02/2020;82100;5652
26782;1;17/04/2020;82114,32;334
26783;1;30/04/2020;821500;13022
26784;1;27/02/2020;82200;5206
26785;1;19/06/2020;82224;883
26786;1;18/05/2020;82250;13414
26787;1;27/05/2020;82250;1464
26788;1;09/06/2020;82250;5728
26789;1;07/02/2020;82270;5096
26790;1;29/05/2020;823050;2906
26791;1;14/05/2020;823200;13184
26792;1;30/04/2020;82343;5565
26793;1;05/06/2020;823450;13585
26794;1;27/02/2020;82350;3994
26795;1;28/01/2020;82353;1956
26796;1;13/03/2020;82353;588
26797;1;29/05/2020;824000;16214
26798;1;09/03/2020;82422;8888
26799;1;24/06/2020;824400;15133
26800;1;07/01/2020;82500;1518
26801;1;08/01/2020;82500;1037
26802;1;17/01/2020;82500;1650
26803;1;25/01/2020;82500;9362
26804;1;27/01/2020;82500;822
26805;1;28/01/2020;82500;9920
26806;1;29/01/2020;82500;6571
26807;1;30/01/2020;82500;6321
26808;1;06/02/2020;82500;8776
26809;1;17/02/2020;82500;11089
26810;1;24/02/2020;82500;3
26811;1;29/02/2020;82500;9573
26812;1;02/03/2020;82500;9914
26813;1;06/03/2020;82500;13701
26814;1;10/03/2020;82500;9711
26815;1;11/03/2020;82500;1309
26816;1;13/03/2020;82500;2328
26817;1;02/04/2020;82500;14210
26818;1;09/04/2020;82500;16743
26819;1;15/05/2020;82500;10142
26820;1;20/05/2020;82500;6627
26821;1;22/05/2020;82500;5039
26822;1;29/05/2020;82500;7777
26823;1;19/06/2020;82500;999
26824;1;29/06/2020;82500;5813
26825;1;30/06/2020;82500;8118
26826;1;10/01/2020;825000;6976
26827;1;15/04/2020;825000;14359
26828;1;22/05/2020;825000;15093
26829;1;08/06/2020;825000;9971
