",""2020"",""2020"",""2020"",""2020"",""2020"",""2020"",""2019"",""2019"",""2019"",""2019"",""2019"",""2019"",""2018"",""2018"",""2018"",""2018"",""2018"",""2018"",""2017"",""2017"",""2017"",""2017"",""2017"",""2017"",""2016"",""2016"",""2016"",""2016"",""2016"",""2016"",""2015"",""2015"",""2015"",""2015"",""2015"",""2015"",""2014"",""2014"",""2014"",""2014"",""2014"",""2014"",""2013"",""2013"",""2013"",""2013"",""2013"",""2013"",""2012"",""2012"",""2012"",""2012"",""2012"",""2012"",""2011"",""2011"",""2011"",""2011"",""2011"",""2011"",""2010"",""2010"",""2010"",""2010"",""2010"",""2010"",""2009"",""2009"",""2009"",""2009"",""2009"",""2009"",""2008"",""2008"",""2008"",""2008"",""2008"",""2008"",""2007"",""2007"",""2007"",""2007"",""2007"",""2007"",""2006"",""2006"",""2006"",""2006"",""2006"",""2006"",""2005"",""2005"",""2005"",""2005"",""2005"",""2005"",""2004"",""2004"",""2004"",""2004"",""2004"",""2004"",""2003"",""2003"",""2003"",""2003"",""2003"",""2003"",""2002"",""2002"",""2002"",""2002"",""2002"",""2002"",""2001"",""2001"",""2001"",""2001"",""2001"",""2001"",""2000"",""2000"",""2000"",""2000"",""2000"",""2000"""
"Australia,""100"",""100"",""100"","""",""99"","""",""100"",""100"",""100"","""",""99"","""",""100"",""100"",""100"","""",""99"","""",""100"",""100"",""100"","""",""99"","""",""100"",""100"",""100"","""",""99"","""",""100"",""100"",""100"","""",""99"","""",""100"",""100"",""100"","""",""99"","""",""100"",""100"",""100"","""",""99"","""",""100"",""100"",""100"","""",""99"","""",""100"",""100"",""100"","""",""99"","""",""100"",""100"",""100"","""",""99"","""",""100"",""100"",""100"","""",""99"","""",""100"",""100"",""100"","""",""99"","""",""100"",""100"",""99"","""",""98"","""",""100"",""100"",""99"","""",""98"","""",""100"",""100"",""99"","""",""98"","""",""100"",""100"",""99"","""",""98"","""",""100"",""100"",""99"","""",""98"","""",""100"",""100"",""99"","""",""98"","""",""100"",""100"",""99"","""",""98"","""",""100"",""100"",""99"","""",""98"","""""
"Austria,""100"",""100"",""100"",""99"","""","""",""100"",""100"",""100"",""99"","""","""",""100"",""100"",""100"",""99"","""","""",""100"",""100"",""100"",""99"","""","""",""100"",""100"",""100"",""99"","""","""",""100"",""100"",""100"",""99"","""","""",""100"",""100"",""100"",""99"","""","""",""100"",""100"",""100"",""99"","""","""",""100"",""100"",""100"",""99"","""","""",""100"",""100"",""100"",""99"","""","""",""100"",""100"",""100"",""99"","""","""",""100"",""100"",""100"",""98"","""","""",""100"",""100"",""100"",""98"","""","""",""100"",""100"",""100"",""98"","""","""",""100"",""100"",""100"",""98"","""","""",""100"",""100"",""100"",""97"","""","""",""100"",""100"",""100"",""97"","""","""",""100"",""100"",""100"",""97"","""","""",""100"",""100"",""100"",""97"","""","""",""100"",""100"",""100"",""97"","""","""",""100"",""100"",""100"",""96"","""","""""
"Azerbaijan,""96"",""100"",""91"",""88"",""96"",""78"",""95"",""100"",""90"",""88"",""96"",""77"",""95"",""100"",""88"",""87"",""96"",""76"",""94"",""100"",""87"",""86"",""96"",""75"",""93"",""99"",""85"",""86"",""96"",""73"",""92"",""99"",""84"",""85"",""96"",""72"",""91"",""99"",""82"",""83"",""95"",""69"",""90"",""98"",""80"",""82"",""95"",""66"",""89"",""98"",""78"",""80"",""95"",""63"",""87"",""97"",""76"",""79"",""94"",""61"",""86"",""97"",""74"",""77"",""93"",""58"",""85"",""96"",""72"",""75"",""92"",""55"",""83"",""96"",""70"",""73"",""90"",""53"",""82"",""95"",""68"",""71"",""89"",""50"",""81"",""95"",""66"",""69"",""88"",""48"",""80"",""94"",""64"",""67"",""87"",""45"",""78"",""94"",""62"",""65"",""85"",""43"",""77"",""93"",""60"",""63"",""84"",""40"",""76"",""93"",""58"",""61"",""83"",""38"",""75"",""92"",""56"",""60"",""82"",""36"",""74"",""92"",""55"",""58"",""81"",""34"""
"Bahamas,"""","""","""","""","""","""",""99"","""","""","""","""","""",""99"","""","""","""","""","""",""99"","""","""","""","""","""",""99"","""","""","""","""","""",""99"","""","""","""","""","""",""99"","""","""","""","""","""",""99"","""","""","""","""","""",""99"","""","""","""","""","""",""99"","""","""","""","""","""",""99"","""","""","""","""","""",""99"","""","""","""","""","""",""99"","""","""","""","""","""",""99"","""","""","""","""","""",""99"","""","""","""","""","""",""98"","""","""","""","""","""",""98"","""","""","""","""","""",""98"","""","""","""","""","""",""98"","""","""","""","""","""",""98"","""","""","""","""","""",""98"","""","""","""","""","""""
"Bahrain,""100"","""","""",""99"","""","""",""100"","""","""",""99"","""","""",""100"","""","""",""99"","""","""",""100"","""","""",""99"","""","""",""100"","""","""",""99"","""","""",""100"","""","""",""99"","""","""",""100"","""","""",""99"","""","""",""100"","""","""",""99"","""","""",""100"","""","""",""99"","""","""",""100"","""","""",""99"","""","""",""100"","""","""",""99"","""","""",""100"","""","""",""99"","""","""",""100"","""","""",""99"","""","""",""100"","""","""",""99"","""","""",""100"","""","""",""99"","""","""",""100"","""","""",""99"","""","""",""100"","""","""",""99"","""","""",""100"","""","""",""99"","""","""",""100"","""","""",""99"","""","""",""100"","""","""",""99"","""","""",""100"","""","""",""99"","""","""""
"Bangladesh,""98"",""97"",""98"",""59"",""53"",""62"",""98"",""97"",""98"",""58"",""52"",""62"",""97"",""98"",""97"",""58"",""50"",""62"",""97"",""98"",""97"",""57"",""49"",""62"",""97"",""98"",""97"",""57"",""48"",""61"",""97"",""98"",""97"",""56"",""47"",""61"",""97"",""98"",""97"",""56"",""46"",""61"",""97"",""98"",""96"",""56"",""45"",""61"",""97"",""98"",""96"",""55"",""43"",""61"",""97"",""98"",""96"",""55"",""42"",""61"",""96"",""98"",""96"",""55"",""42"",""60"",""96"",""98"",""95"",""55"",""42"",""60"",""96"",""98"",""95"",""55"",""42"",""60"",""96"",""98"",""95"",""55"",""42"",""60"",""96"",""98"",""95"",""55"",""42"",""60"",""96"",""98"",""95"",""55"",""42"",""60"",""95"",""98"",""94"",""55"",""42"",""60"",""95"",""98"",""94"",""55"",""42"",""60"",""95"",""98"",""94"",""55"",""42"",""60"",""95"",""98"",""94"",""55"",""42"",""59"",""95"",""98"",""94"",""55"",""42"",""59"""
"Barbados,""99"","""","""","""","""","""",""99"","""","""","""","""","""",""99"","""","""","""","""","""",""98"","""","""","""","""","""",""98"","""","""","""","""","""",""98"","""","""","""","""","""",""98"","""","""","""","""","""",""98"","""","""","""","""","""",""98"","""","""","""","""","""",""98"","""","""","""","""","""",""98"","""","""","""","""","""",""98"","""","""","""","""","""",""98"","""","""","""","""","""",""98"","""","""","""","""","""",""98"","""","""","""","""","""",""98"","""","""","""","""","""",""98"","""","""","""","""","""",""98"","""","""","""","""","""",""98"","""","""","""","""","""",""98"","""","""","""","""","""",""98"","""","""","""","""","""""
"Belarus,""97"",""96"",""99"",""95"","""","""",""97"",""96"",""99"",""95"","""","""",""97"",""96"",""98"",""95"","""","""",""97"",""96"",""98"",""95"","""","""",""96"",""96"",""98"",""95"","""","""",""96"",""96"",""98"",""94"","""","""",""96"",""96"",""98"",""94"","""","""",""97"",""96"",""98"",""93"","""","""",""97"",""97"",""98"",""92"","""","""",""97"",""97"",""98"",""91"","""","""",""98"",""97"",""98"",""90"","""","""",""98"",""98"",""99"",""89"","""","""",""98"",""98"",""99"",""88"","""","""",""98"",""98"",""99"",""86"","""","""",""99"",""99"",""99"",""85"","""","""",""99"",""99"",""99"",""84"","""","""",""99"",""99"",""99"",""83"","""","""",""99"",""99"",""99"",""81"","""","""",""99"",""99"",""99"",""81"","""","""",""99"",""99"",""99"",""81"","""","""",""99"",""99"",""99"",""81"","""","""""
"Belgium,""100"",""100"",""100"",""100"","""","""",""100"",""100"",""100"",""100"","""","""",""100"",""100"",""100"",""100"","""","""",""100"",""100"",""100"",""100"","""","""",""100"",""100"",""100"",""100"","""","""",""100"",""100"",""100"",""100"","""","""",""100"",""100"",""100"",""100"","""","""",""100"",""100"",""100"",""100"","""","""",""100"",""100"",""100"",""100"","""","""",""100"",""100"",""100"",""100"","""","""",""100"",""100"",""100"",""99"","""","""",""100"",""100"",""100"",""99"","""","""",""100"",""100"",""100"",""99"","""","""",""100"",""100"",""100"",""99"","""","""",""100"",""100"",""100"",""99"","""","""",""100"",""100"",""100"",""99"","""","""",""100"",""100"",""100"",""99"","""","""",""100"",""100"",""100"",""99"","""","""",""100"",""100"",""100"",""99"","""","""",""100"",""100"",""100"",""99"","""","""",""100"",""100"",""100"",""99"","""","""""
"Belize,""98"",""99"",""98"","""","""","""",""98"",""99"",""98"","""","""","""",""98"",""99"",""98"","""","""","""",""98"",""99"",""97"","""","""","""",""98"",""99"",""96"","""","""","""",""97"",""99"",""96"","""","""","""",""97"",""99"",""95"","""","""","""",""96"",""98"",""94"","""","""","""",""95"",""98"",""93"","""","""","""",""95"",""97"",""93"","""","""","""",""94"",""97"",""92"","""","""","""",""93"",""96"",""91"","""","""","""",""93"",""96"",""90"","""","""","""",""92"",""95"",""89"","""","""","""",""91"",""94"",""89"","""","""","""",""91"",""94"",""88"","""","""","""",""90"",""93"",""87"","""","""","""",""89"",""93"",""87"","""","""","""",""89"",""92"",""86"","""","""","""",""88"",""92"",""85"","""","""","""",""87"",""91"",""84"","""","""","""""
